nome_completo_do_carro,ano_de_venda,preco_de_venda_USD,kilometragem,tipo_combustivel,tipo_do_vendedor,transmissao,dono,consumo_do_combustivel_kmpl,motor_CC,potencia_do_motor_bhp,assentos,Marca
Toyota Corolla Altis 1.8 G CVT,2013,8561.64,39000,Gasolina,Distribuidora,Automatico,1º dono,14.28,1798.0,138.03,5.0,Toyota
Volvo XC40 D4 R-Design,2018,46575.34,22000,Diesel,Distribuidora,Automatico,1º dono,18.0,1969.0,190.0,5.0,Volvo
Audi Q7 35 TDI Quattro Premium,2015,36301.37,53000,Diesel,Distribuidora,Automatico,1º dono,12.07,2967.0,241.4,7.0,Audi
Maruti Ciaz ZDi,2015,7328.77,40000,Diesel,Distribuidora,Manual,1º dono,26.21,1248.0,88.5,5.0,Maruti
Mercedes-Benz S-Class S 350 CDI,2017,80136.99,47000,Diesel,Distribuidora,Automatico,1º dono,13.5,2987.0,282.0,5.0,Mercedes-Benz
BMW 5 Series 523i,2010,13356.16,72200,Gasolina,Distribuidora,Automatico,2º dono,10.8,2497.0,150.0,5.0,BMW
Hyundai Elantra S,2016,11027.4,49900,Gasolina,Distribuidora,Manual,1º dono,16.3,1797.0,147.5,5.0,Hyundai
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,35958.9,9000,Diesel,Distribuidora,Automatico,1º dono,13.6,1999.0,177.0,5.0,Jaguar
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,11109.59,11000,Gasolina,Distribuidora,Manual,1º dono,17.0,1198.0,108.5,5.0,Tata
Volkswagen Vento Petrol Highline,2011,5136.99,49000,Gasolina,Individual,Manual,1º dono,15.04,1598.0,103.6,5.0,Volkswagen
Hyundai Elantra SX,2012,7534.25,95000,Gasolina,Individual,Manual,1º dono,16.3,1797.0,147.5,5.0,Hyundai
Skoda Rapid 1.6 MPI AT Elegance,2016,8835.62,11000,Gasolina,Distribuidora,Automatico,1º dono,14.3,1598.0,103.5,5.0,Skoda
Mercedes-Benz CLA 200 CGI Sport,2018,34931.51,18000,Gasolina,Distribuidora,Automatico,1º dono,15.04,1991.0,183.0,5.0,Mercedes-Benz
Maruti Ertiga ZXI,2014,8205.48,46100,Gasolina,Distribuidora,Manual,1º dono,16.02,1373.0,93.7,7.0,Maruti
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,36986.3,16000,Gasolina,Distribuidora,Automatico,1º dono,14.74,1991.0,181.04,5.0,Mercedes-Benz
Honda City V AT,2017,11986.3,18000,Gasolina,Distribuidora,Automatico,1º dono,15.6,1497.0,116.3,5.0,Honda
Toyota Glanza V CVT,2019,12260.26,9654,Gasolina,Distribuidora,Automatico,1º dono,19.56,1197.0,81.8,5.0,Toyota
Maruti Alto K10 VXI,2011,2397.26,11000,Gasolina,Distribuidora,Manual,1º dono,23.95,998.0,67.05,5.0,Maruti
Maruti Swift VXI,2012,4657.53,24300,Gasolina,Distribuidora,Manual,1º dono,21.21,1197.0,81.8,5.0,Maruti
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,20890.41,42163,Diesel,Distribuidora,Automatico,2º dono,11.36,2755.0,171.5,7.0,Toyota
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,14041.1,8000,Diesel,Distribuidora,Automatico,1º dono,21.5,1497.0,108.5,5.0,Tata
BMW 3 Series 320d Luxury Line,2016,29452.05,30000,Diesel,Distribuidora,Automatico,1º dono,22.69,1995.0,190.0,5.0,BMW
Toyota Camry 2.5 Hybrid,2016,26027.4,41000,Gasolina,Distribuidora,Automatico,1º dono,19.16,2494.0,157.7,5.0,Toyota
BMW 5 Series 520d Luxury Line,2016,39726.03,12000,Diesel,Distribuidora,Automatico,1º dono,18.12,1995.0,190.0,5.0,BMW
Toyota Camry W4 (AT),2009,6164.38,71000,Gasolina,Distribuidora,Automatico,1º dono,12.1,2362.0,164.7,5.0,Toyota
Maruti Ertiga BSIV ZXI Plus,2016,11643.84,20000,Gasolina,Individual,Manual,1º dono,17.5,1373.0,91.1,7.0,Maruti
Volvo XC90 T8 Excellence BSIV,2017,136986.3,30000,Gasolina,Individual,Automatico,1º dono,42.0,1969.0,400.0,4.0,Volvo
Volkswagen Vento Diesel Highline,2011,4109.59,100000,Diesel,Individual,Manual,2º dono,20.54,1598.0,103.6,5.0,Volkswagen
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,7876.71,9500,Gasolina,Individual,Manual,1º dono,18.16,1196.0,86.8,5.0,Ford
Ford Figo Diesel LXI,2011,2191.78,120000,Diesel,Individual,Manual,1º dono,20.0,1399.0,68.0,5.0,Ford
Maruti Swift VXI Optional,2015,7054.79,36600,Gasolina,Individual,Manual,1º dono,20.4,1197.0,81.8,5.0,Maruti
Maruti Wagon R AMT VXI,2015,5342.47,50000,Gasolina,Individual,Automatico,2º dono,20.51,998.0,67.0,5.0,Maruti
Hyundai i20 Magna 1.2,2016,7534.25,14000,Gasolina,Individual,Manual,2º dono,18.6,1197.0,81.83,5.0,Hyundai
Maruti 800 Std,1999,547.95,40000,Gasolina,Individual,Manual,2º dono,16.1,796.0,37.0,4.0,Maruti
Maruti Ritz VDi,2010,3013.7,120000,Diesel,Individual,Manual,1º dono,21.1,1248.0,73.9,5.0,Maruti
Hyundai Grand i10 Magna,2015,5821.92,70000,Gasolina,Individual,Manual,1º dono,18.9,1197.0,82.0,5.0,Hyundai
Volkswagen Ameo 1.0 MPI Trendline,2019,6575.34,13000,Gasolina,Individual,Manual,1º dono,19.44,999.0,75.0,5.0,Volkswagen
Hyundai Grand i10 Sportz,2014,5479.45,60000,Gasolina,Individual,Manual,2º dono,18.9,1197.0,82.0,5.0,Hyundai
Maruti Swift Dzire VXI,2014,6671.23,35000,Gasolina,Individual,Manual,1º dono,19.1,1197.0,85.8,5.0,Maruti
Hyundai Xcent 1.2 Kappa S,2016,5287.67,44000,Gasolina,Individual,Manual,2º dono,19.1,1197.0,82.0,5.0,Hyundai
Honda City 1.5 EXI,2005,1369.86,120000,Gasolina,Individual,Manual,2º dono,13.0,1493.0,100.0,5.0,Honda
Toyota Corolla Altis Diesel D4DG,2010,4109.59,60000,Diesel,Individual,Manual,1º dono,21.43,1364.0,87.2,5.0,Toyota
Daewoo Matiz SD,2000,1369.86,60000,Gasolina,Individual,Manual,1º dono,18.5,796.0,53.0,5.0,Daewoo
Toyota Fortuner 4x2 Manual,2014,23972.6,30000,Diesel,Individual,Manual,2º dono,13.0,2982.0,168.5,7.0,Toyota
Mahindra KUV 100 mFALCON G80 K8,2016,6164.38,15000,Gasolina,Individual,Manual,2º dono,18.15,1198.0,82.0,6.0,Mahindra
Tata Zest Quadrajet 1.3 75PS XM,2017,6712.33,90000,Diesel,Individual,Manual,1º dono,22.95,1248.0,74.0,5.0,Tata
Honda City 1.5 S MT,2009,4726.03,47000,Gasolina,Individual,Manual,2º dono,17.0,1497.0,118.0,5.0,Honda
Maruti Zen LXI,2005,1164.38,90000,Gasolina,Individual,Manual,1º dono,17.3,993.0,60.0,5.0,Maruti
Maruti Wagon R VXI BS IV with ABS,2010,2945.21,120600,Gasolina,Individual,Manual,2º dono,18.9,998.0,67.1,5.0,Maruti
Hyundai Verna Transform SX VTVT,2010,4383.56,100000,Gasolina,Individual,Manual,3º dono,16.2,1599.0,103.2,5.0,Hyundai
Maruti Swift Dzire VXI,2016,6301.36,60000,Gasolina,Individual,Manual,2º dono,20.85,1197.0,83.14,5.0,Maruti
Hyundai Getz GLS,2005,890.41,86000,Gasolina,Individual,Manual,1º dono,15.3,1341.0,83.0,5.0,Hyundai
Hyundai Elite i20 Sportz Plus BSIV,2020,9863.01,5000,Gasolina,Individual,Manual,1º dono,18.6,1197.0,81.86,5.0,Hyundai
Maruti Ciaz 1.3 Alpha,2017,10958.9,37000,Diesel,Individual,Manual,1º dono,28.09,1248.0,88.5,5.0,Maruti
Tata Tigor 1.2 Revotron XZ,2019,7123.29,14000,Gasolina,Individual,Manual,1º dono,20.3,1199.0,84.0,5.0,Tata
Maruti Ertiga VDI,2015,7945.21,70000,Diesel,Individual,Manual,1º dono,20.77,1248.0,88.76,7.0,Maruti
Honda City i VTEC S,2015,8219.18,50000,Gasolina,Individual,Manual,1º dono,17.4,1497.0,117.3,5.0,Honda
Honda Brio S MT,2014,3972.6,60000,Gasolina,Individual,Manual,2º dono,19.4,1198.0,86.8,5.0,Honda
Maruti Swift Dzire VXI,2017,7534.25,50000,Gasolina,Individual,Manual,1º dono,20.85,1197.0,83.14,5.0,Maruti
Hyundai i20 Sportz 1.2,2013,5136.99,70000,Gasolina,Individual,Manual,1º dono,18.5,1197.0,82.85,5.0,Hyundai
